                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3495,                 2.2605,                 1.1578,                0.70711,                0.30107,                0.27083,                0.17162,                 1.4097,                 2.3755,                 1.2689,             0.00046575,             0.00046575,             0.00046575
                      2,                 1.1828,                 1.1597,                 1.0794,                0.69998,                0.43281,                 0.3692,                0.23557,                  1.241,                 1.7859,                 1.1832,             0.00093275,             0.00093275,             0.00093275
                      3,                 1.1594,                0.94667,                 1.0787,                0.75889,                  0.466,                0.42607,                 0.2797,                 1.2517,                 1.2034,                 1.2014,              0.0013903,              0.0013903,              0.0013903
                      4,                 1.1238,                0.87408,                 1.0575,                 0.7431,                0.48752,                0.42221,                0.27727,                 1.2174,                 1.1753,                 1.1929,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1219,                0.85487,                  1.049,                0.76197,                 0.4675,                0.43228,                0.28243,                 1.2258,                 1.1364,                 1.2069,              0.0013724,              0.0013724,              0.0013724
                      6,                   1.11,                0.84147,                 1.0483,                0.77645,                0.45366,                0.43347,                0.28731,                 1.2155,                 1.1899,                 1.2179,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1143,                0.81609,                  1.049,                0.79061,                 0.4779,                0.47256,                0.31123,                 1.2158,                 1.1063,                  1.195,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0677,                0.79006,                 1.0469,                0.74996,                0.49411,                0.47377,                   0.32,                 1.1259,                 1.0906,                 1.1668,                0.00133,                0.00133,                0.00133
                      9,                 1.0779,                 0.7978,                  1.031,                0.78793,                0.47556,                0.46609,                0.32184,                 1.1633,                 1.1035,                 1.1681,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.0747,                0.79343,                 1.0474,                 0.8035,                0.49496,                 0.5011,                0.34594,                 1.1144,                0.92882,                 1.1384,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0651,                0.77799,                 1.0375,                   0.79,                0.49637,                0.51568,                0.36085,                 1.0857,                0.95259,                  1.114,              0.0012875,              0.0012875,              0.0012875
